"sysdate","variable","value"
2020-05-02,"premium",16.9205620608899
2020-05-03,"premium",16.9493911007026
2020-05-04,"premium",16.9580093676815
2020-05-05,"premium",16.9614519906323
2020-05-06,"premium",16.9772365339578
2020-05-07,"premium",17.0513817330211
2020-05-08,"premium",17.2148009367681
2020-05-09,"premium",17.3751288056206
2020-05-10,"premium",17.498056206089
2020-05-11,"premium",17.5171896955503
2020-05-12,"premium",17.5800702576112
2020-05-13,"premium",17.683793911007
2020-05-14,"premium",17.7584309133489
2020-05-15,"premium",17.7911241217799
2020-05-16,"premium",17.7936533957845
2020-05-17,"premium",17.8229039812646
2020-05-18,"premium",17.8244730679157
2020-05-19,"premium",17.840093676815
2020-05-20,"premium",17.90037470726
2020-05-21,"premium",17.9932084309133
2020-05-22,"premium",18.1224355971897
2020-05-23,"premium",18.218243559719
2020-05-24,"premium",18.2729742388759
2020-05-25,"premium",18.2786651053864
2020-05-26,"premium",18.2825526932084
2020-05-27,"premium",18.3036299765808
2020-05-28,"premium",18.3190632318501
2020-05-29,"premium",18.3278220140515
2020-05-30,"premium",18.3233723653396
2020-05-31,"premium",18.3306557377049
2020-06-01,"premium",18.3291803278689
2020-06-02,"premium",18.3352224824356
2020-06-03,"premium",18.3408665105386
2020-06-04,"premium",18.3496955503513
2020-06-05,"premium",18.3624590163934
2020-06-06,"premium",18.3727868852459
2020-06-07,"premium",18.3878220140515
2020-06-08,"premium",18.39018735363
2020-06-09,"premium",18.4011007025761
2020-06-10,"premium",18.4808899297424
2020-06-11,"premium",18.5408665105386
2020-06-12,"premium",18.5991334894614
2020-06-13,"premium",18.6461826697892
2020-06-14,"premium",18.6631615925059
2020-06-15,"premium",18.6679156908665
2020-06-16,"premium",18.6782669789227
2020-06-17,"premium",18.677868852459
2020-06-18,"premium",18.7085714285714
2020-06-19,"premium",18.7553395784543
2020-06-20,"premium",18.7968852459016
2020-06-21,"premium",18.9466978922717
2020-06-22,"premium",18.9684777517564
2020-06-23,"premium",19.0145433255269
2020-06-24,"premium",19.1368384074941
2020-06-25,"premium",19.2114754098361
2020-06-26,"premium",19.289718969555
2020-06-27,"premium",19.3328805620609
2020-06-28,"premium",19.3488758782201
2020-06-29,"premium",19.3523943661972
2020-06-30,"premium",19.3662441314554
2020-07-01,"premium",19.3594131455399
2020-07-02,"premium",19.3989201877934
2020-07-03,"premium",19.4406338028169
2020-07-04,"premium",19.4639436619718
2020-07-05,"premium",19.4975352112676
2020-07-06,"premium",19.5036384976526
2020-07-07,"premium",19.5252816901408
2020-07-08,"premium",19.5606572769953
2020-07-09,"premium",19.5779812206573
2020-07-10,"premium",19.6112910798122
2020-07-11,"premium",19.6591079812207
2020-07-12,"premium",19.6986384976526
2020-07-13,"premium",19.7020657276995
2020-07-14,"premium",19.7120892018779
2020-07-15,"premium",19.732323943662
2020-07-16,"premium",19.7493896713615
2020-07-17,"premium",19.7544131455399
2020-07-18,"premium",19.7715492957746
2020-07-19,"premium",19.7716197183099
2020-07-20,"premium",19.770985915493
2020-07-21,"premium",19.7708685446009
2020-07-22,"premium",19.748661971831
2020-07-23,"premium",19.7499765258216
2020-07-24,"premium",19.760985915493
2020-07-25,"premium",19.7668075117371
2020-07-26,"premium",19.7613849765258
2020-07-27,"premium",19.757558685446
2020-07-28,"premium",19.7583098591549
2020-07-29,"premium",19.7597887323944
2020-07-30,"premium",19.7528873239437
2020-07-31,"premium",19.7355633802817
2020-08-01,"premium",19.722323943662
2020-08-02,"premium",19.7033568075117
2020-08-03,"premium",19.6969953051643
2020-08-04,"premium",19.6914084507042
2020-08-05,"premium",19.662558685446
2020-08-06,"premium",19.6482629107981
2020-08-07,"premium",19.6448591549296
2020-08-08,"premium",19.6356807511737
2020-08-09,"premium",19.6172769953052
2020-08-10,"premium",19.6141079812207
2020-08-11,"premium",19.6134976525822
2020-08-12,"premium",19.5996948356808
2020-08-13,"premium",19.5891549295775
2020-08-14,"premium",19.5813849765258
2020-08-15,"premium",19.5752582159624
2020-08-16,"premium",19.5683802816901
2020-08-17,"premium",19.5652112676056
2020-08-18,"premium",19.5696713615023
2020-08-19,"premium",19.5666197183099
2020-08-20,"premium",19.567323943662
2020-08-21,"premium",19.5723708920188
2020-08-22,"premium",19.5761502347418
2020-08-23,"premium",19.5883568075117
2020-08-24,"premium",19.5839906103286
2020-08-25,"premium",19.5997417840376
2020-08-26,"premium",19.601103286385
2020-08-27,"premium",19.6538028169014
2020-08-28,"premium",19.7233098591549
2020-08-29,"premium",19.74720657277
2020-08-30,"premium",19.75220657277
2020-08-31,"premium",19.7513145539906
2020-09-01,"premium",19.754014084507
2020-09-02,"premium",19.7503990610329
2020-09-03,"premium",19.7331690140845
2020-09-04,"premium",19.7227230046948
2020-09-05,"premium",19.714882629108
2020-09-06,"premium",19.6999061032864
2020-09-07,"premium",19.6902816901408
2020-09-08,"premium",19.6888497652582
2020-09-09,"premium",19.6528169014084
2020-09-10,"premium",19.6371361502347
2020-09-11,"premium",19.6295070422535
2020-09-12,"premium",19.6019953051643
2020-09-13,"premium",19.5473536299766
2020-09-14,"premium",19.538337236534
2020-09-15,"premium",19.5236299765808
2020-09-16,"premium",19.4782903981265
2020-09-17,"premium",19.4405386416862
2020-09-18,"premium",19.4303512880562
2020-09-19,"premium",19.4003981264637
2020-09-20,"premium",19.3832786885246
2020-09-21,"premium",19.385925058548
2020-09-22,"premium",19.392037470726
2020-09-23,"premium",19.3986182669789
2020-09-24,"premium",19.3943793911007
2020-09-25,"premium",19.3884309133489
2020-09-26,"premium",19.3853395784543
2020-09-27,"premium",19.3850351288056
